fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Clifford Starks,UFC on FOX: Henderson vs Melendez,"Apr. 20, 2013",Clifford Starks,Middleweight Bout,Yoel Romero,3 Rnd (5-5-5),1,1:32,L,W,KO/TKO,0,3 of 18,16%,1 of 14,1 of 3,1 of 1,3 of 18,0 of 0,0 of 0,1,12 of 12,100%,6 of 6,1 of 1,5 of 5,8 of 8,0 of 0,4 of 4
Georges St-Pierre,TKO 14,"Nov. 29, 2003",Georges St-Pierre,Welterweight Bout,Pete Spratt,3 Rnd (5-5-5),1,3:40,W,L,Submission,0,4 of 5,80%,2 of 3,1 of 1,1 of 1,1 of 2,0 of 0,3 of 3,0,0 of 3,0%,0 of 1,0 of 1,0 of 1,0 of 2,0 of 0,0 of 1
Cody Stamann,UFC Fight Night: Overeem vs. Rozenstruik,"Dec. 07, 2019",Cody Stamann,Bantamweight Bout,Song Yadong,3 Rnd (5-5-5),3,5:00,D,D,Decision - Majority,0,41 of 67,61%,8 of 17,1 of 3,1 of 1,9 of 20,0 of 0,1 of 1,0,30 of 105,28%,8 of 47,0 of 0,2 of 3,9 of 49,0 of 0,1 of 1
Cody Stamann,UFC 228: Woodley vs. Till,"Sep. 08, 2018",Aljamain Sterling,Bantamweight Bout,Cody Stamann,3 Rnd (5-5-5),2,3:42,W,L,Submission,0,33 of 74,44%,8 of 27,3 of 7,1 of 3,10 of 35,0 of 0,2 of 2,0,12 of 43,27%,1 of 23,4 of 5,1 of 2,3 of 26,3 of 4,0 of 0
Cody Stamann,UFC 213: Romero vs. Whittaker,"Jul. 08, 2017",Cody Stamann,Featherweight Bout,Terrion Ware,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,94 of 160,58%,18 of 43,4 of 7,1 of 1,14 of 32,2 of 5,7 of 14,0,60 of 152,39%,12 of 38,3 of 5,4 of 4,18 of 42,1 of 3,0 of 2
Georges St-Pierre,UFC 54: Boiling Point,"Aug. 20, 2005",Georges St-Pierre,Welterweight Bout,Frank Trigg,3 Rnd (5-5-5),1,4:09,W,L,Submission,0,25 of 32,78%,25 of 32,0 of 0,0 of 0,4 of 6,0 of 0,21 of 26,0,1 of 3,33%,1 of 2,0 of 1,0 of 0,1 of 3,0 of 0,0 of 0
Brian Stann,UFC 130: Rampage vs Hamill,"May. 28, 2011",Brian Stann,Middleweight Bout,Jorge Santiago,3 Rnd (5-5-5),2,4:29,W,L,KO/TKO,2,47 of 99,47%,15 of 38,2 of 3,9 of 10,14 of 32,0 of 0,12 of 19,0,14 of 43,32%,2 of 12,1 of 1,1 of 1,4 of 13,0 of 1,0 of 0
Georges St-Pierre,UFC 56: Full Force,"Nov. 19, 2005",Georges St-Pierre,Welterweight Bout,Sean Sherk,3 Rnd (5-5-5),2,2:53,W,L,KO/TKO,0,58 of 111,52%,23 of 53,7 of 7,2 of 2,18 of 41,7 of 7,7 of 14,0,20 of 55,36%,2 of 13,6 of 6,7 of 10,8 of 22,7 of 7,0 of 0
Daniel Spohn,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,"Jul. 06, 2014",Patrick Walsh,Light Heavyweight Bout,Daniel Spohn,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,11 of 24,45%,5 of 11,0 of 0,0 of 0,1 of 4,0 of 0,4 of 7,0,24 of 51,47%,3 of 8,0 of 0,3 of 3,6 of 11,0 of 0,0 of 0
Serghei Spivac,UFC Fight Night: Benavidez vs. Figueiredo,"Feb. 29, 2020",Marcin Tybura,Heavyweight Bout,Serghei Spivac,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,43 of 106,40%,20 of 38,3 of 7,0 of 0,9 of 25,0 of 0,14 of 20,0,26 of 83,31%,10 of 27,0 of 0,0 of 0,9 of 26,1 of 1,0 of 0
Serghei Spivac,UFC Fight Night: Blaydes vs. Lewis,"Feb. 20, 2021",Serghei Spivac,Heavyweight Bout,Jared Vanderaa,3 Rnd (5-5-5),2,4:32,W,L,KO/TKO,0,51 of 72,70%,15 of 20,0 of 0,0 of 0,5 of 9,0 of 0,10 of 11,0,13 of 24,54%,5 of 10,3 of 3,2 of 2,8 of 13,2 of 2,0 of 0
Serghei Spivac,UFC 243: Whittaker vs. Adesanya,"Oct. 05, 2019",Tai Tuivasa,Heavyweight Bout,Serghei Spivac,3 Rnd (5-5-5),2,3:14,L,W,Submission,0,21 of 50,42%,4 of 24,1 of 4,8 of 9,12 of 29,1 of 6,0 of 2,0,23 of 42,54%,9 of 19,1 of 1,0 of 0,5 of 15,0 of 0,5 of 5
Waachiim Spiritwolf,Strikeforce Challengers 12,"Nov. 19, 2010",Marius Zaromskis,Welterweight Bout,Waachiim Spiritwolf,3 Rnd (5-5-5),1,0:06,NC,NC,Could Not Continue,0,1 of 1,100%,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0,1 of 1,100%,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0
Serghei Spivac,UFC Fight Night: Santos vs. Hill,"Aug. 06, 2022",Augusto Sakai,Heavyweight Bout,Serghei Spivac,3 Rnd (5-5-5),2,3:42,L,W,KO/TKO,0,8 of 23,34%,1 of 5,5 of 5,1 of 1,1 of 5,6 of 6,0 of 0,0,33 of 49,67%,10 of 13,0 of 0,0 of 0,3 of 6,0 of 0,7 of 7
Georges St-Pierre,UFC 83: Serra vs St-Pierre 2,,Georges St-Pierre,UFC Welterweight Title Bout,Matt Serra,5 Rnd (5-5-5-5-5),2,4:45,W,L,KO/TKO,0,42 of 54,77%,12 of 17,5 of 5,0 of 0,3 of 3,1 of 1,13 of 18,0,3 of 18,16%,0 of 7,0 of 0,0 of 0,0 of 7,0 of 0,0 of 0
